City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
316,polewali,-3.4324,119.3435,26.43,87,98,0.97,ID,1674555351
317,sembe,1.6481,14.5806,32.6,40,97,1.89,CG,1674555450
318,dikson,73.5069,80.5464,-20.93,96,100,16.44,RU,1674555451
319,nacogdoches,31.6002,-94.6335,7.8,87,100,3.09,US,1674555451
320,marhaura,25.9667,84.8667,27.96,30,1,1.9,IN,1674555451
321,sioux lookout,50.1001,-91.917,-13.96,85,75,1.03,CA,1674555451
322,kavieng,-2.5744,150.7967,27.97,77,86,4.18,PG,1674555452
323,roebourne,-20.7833,117.1333,30.18,65,45,5.05,AU,1674555452
324,buala,-8.145,159.5921,25.83,84,100,0.89,SB,1674555453
325,esperance,-33.8667,121.9,24.6,57,4,9.86,AU,1674555454
326,mont-dore,-22.2833,166.5833,24.99,90,48,0.67,NC,1674555454
327,qiqihar,47.3408,123.9672,-24.17,82,8,3.06,CN,1674555234
328,saint-francois,46.4154,3.9054,2.69,87,100,2.06,FR,1674555455
329,merauke,-8.4667,140.3333,26.64,81,100,2.71,ID,1674555455
330,sovetskiy,61.3614,63.5842,-5.5,79,79,4.05,RU,1674555412
331,kawalu,-7.3817,108.2082,26.66,80,83,1.73,ID,1674555456
332,narsaq,60.9167,-46.05,-5.88,97,100,1.63,GL,1674555456
333,baglan,36.1307,68.7083,1.4,65,62,1.63,AF,1674555456
334,santa cruz de tenerife,28.4682,-16.2546,19.79,75,20,4.12,ES,1674555437
335,rognan,67.0953,15.3878,4.08,90,82,3.36,NO,1674555457
336,la orilla,17.9833,-102.2333,20.53,68,2,1.99,MX,1674555457
337,mayo,38.8876,-76.5119,3.33,75,0,4.63,US,1674555458
338,qandala,11.472,49.8728,25.78,57,11,6.31,SO,1674555458
339,sarny,51.338,26.6019,2.78,66,15,2.74,UA,1674555458
340,meulaboh,4.1363,96.1285,25.91,85,79,5.32,ID,1674555347
341,bangassou,4.7413,22.8184,36.92,10,100,1.76,CF,1674555459
342,bogalusa,30.791,-89.8487,6.86,87,75,1.54,US,1674555459
343,mahajanga,-15.7167,46.3167,26.01,94,75,5.14,MG,1674555459
344,kemijarvi,66.7131,27.4306,-5.02,92,46,2.86,FI,1674555460
345,codrington,-38.2667,141.9667,15.81,87,14,3.5,AU,1674555460
346,esmeraldas,-19.7625,-44.3139,20.48,98,100,1.03,BR,1674555274
347,carauari,-4.8828,-66.8958,21.99,100,100,0.44,BR,1674555437
348,nanakuli,21.3906,-158.1547,22.97,75,0,1.54,US,1674555461
349,kutum,14.2,24.6667,25.03,8,43,4.94,SD,1674555461
350,kokopo,-4.352,152.2633,26.02,81,95,1.25,PG,1674555462
351,freeport,40.6576,-73.5832,3.1,66,100,5.14,US,1674555330
352,quatre cocos,-20.2078,57.7625,28.06,75,100,3.04,MU,1674555462
353,upington,-28.4478,21.2561,23.48,25,84,6.42,ZA,1674555462
354,sambava,-14.2667,50.1667,28.26,70,100,3.08,MG,1674555408
355,kangaatsiaq,68.3065,-53.4641,-9.66,83,100,3.26,GL,1674555463
356,gamba,-2.65,10.0,28.63,68,72,2.88,GA,1674555464
357,xaxim,-26.9617,-52.5347,18.21,74,0,1.0,BR,1674555464
358,marawi,7.9986,124.2928,20.74,98,100,1.43,PH,1674555464
359,san luis,-33.295,-66.3356,21.55,53,90,2.06,AR,1674555464
360,qasigiannguit,68.8193,-51.1922,-4.86,76,100,3.3,GL,1674555465
361,boulder city,35.9786,-114.8325,5.36,36,0,5.66,US,1674555465
